seed,world,selector,terminal_wealth,time_to_death,rollover_failure_frequency,rollover_count,fail_count,settlement_event_count,dead
0,baseline_world,Selector-4,0.981999701064739,3,0.25,3,1,4,True
1,baseline_world,Selector-4,1.0010139241254457,4,0.2,4,1,5,True
2,baseline_world,Selector-4,1.0062528970369877,10,0.3333333333333333,2,1,3,True
3,baseline_world,Selector-4,0.9895851099277264,19,0.5,1,1,2,True
4,baseline_world,Selector-4,0.9859506484275891,2,0.3333333333333333,2,1,3,True
5,baseline_world,Selector-4,1.0140574840663836,2,0.5,1,1,2,True
6,baseline_world,Selector-4,0.9950259904986508,2,0.3333333333333333,2,1,3,True
7,baseline_world,Selector-4,0.9928647939640749,2,0.3333333333333333,2,1,3,True
8,baseline_world,Selector-4,1.1471621334883284,39,0.05263157894736842,18,1,19,True
9,baseline_world,Selector-4,0.9862845451111677,2,0.3333333333333333,2,1,3,True
10,baseline_world,Selector-4,0.9912545900924684,2,0.3333333333333333,2,1,3,True
11,baseline_world,Selector-4,1.0307928365834826,21,0.5,1,1,2,True
12,baseline_world,Selector-4,1.3502956201796257,120,0.0,45,0,45,False
13,baseline_world,Selector-4,1.8198768892156711,120,0.0,24,0,24,False
14,baseline_world,Selector-4,0.9996481779980871,2,0.3333333333333333,2,1,3,True
15,baseline_world,Selector-4,0.9816575332741271,2,0.3333333333333333,2,1,3,True
16,baseline_world,Selector-4,0.9974643200315275,2,0.3333333333333333,2,1,3,True
17,baseline_world,Selector-4,0.9855884906138391,2,0.3333333333333333,2,1,3,True
18,baseline_world,Selector-4,1.0470010772451892,9,0.5,1,1,2,True
19,baseline_world,Selector-4,1.0049548409267528,63,0.03225806451612903,30,1,31,True
0,baseline_world,Selector-5,0.9788185564860804,3,0.25,3,1,4,True
1,baseline_world,Selector-5,1.0038039668822316,2,0.3333333333333333,2,1,3,True
2,baseline_world,Selector-5,1.501075293435933,120,0.0,67,0,67,False
3,baseline_world,Selector-5,1.238694409505328,120,0.0,41,0,41,False
4,baseline_world,Selector-5,0.9367772162681688,4,0.2,4,1,5,True
5,baseline_world,Selector-5,1.0216868131860335,2,0.5,1,1,2,True
6,baseline_world,Selector-5,0.9970376169165066,2,0.3333333333333333,2,1,3,True
7,baseline_world,Selector-5,0.9940082897222495,2,0.3333333333333333,2,1,3,True
8,baseline_world,Selector-5,1.1900861285333189,33,0.07692307692307693,12,1,13,True
9,baseline_world,Selector-5,0.9847965986172401,2,0.3333333333333333,2,1,3,True
10,baseline_world,Selector-5,0.9917581838799264,2,0.3333333333333333,2,1,3,True
11,baseline_world,Selector-5,1.2249306831744315,82,0.037037037037037035,26,1,27,True
12,baseline_world,Selector-5,1.7076530742016212,120,0.0,44,0,44,False
13,baseline_world,Selector-5,2.163748466964607,120,0.0,22,0,22,False
14,baseline_world,Selector-5,1.0035074548026177,2,0.3333333333333333,2,1,3,True
15,baseline_world,Selector-5,0.978312775851144,2,0.3333333333333333,2,1,3,True
16,baseline_world,Selector-5,1.0004487614251083,2,0.3333333333333333,2,1,3,True
17,baseline_world,Selector-5,0.9838233501046671,2,0.3333333333333333,2,1,3,True
18,baseline_world,Selector-5,1.0219856595818686,14,0.14285714285714285,6,1,7,True
19,baseline_world,Selector-5,1.024118851004174,55,0.038461538461538464,25,1,26,True
